기준원유,항목,2003.01,2003.02,2003.03,2003.04,2003.05,2003.06,2003.07,2003.08,2003.09,2003.1,2003.11,2003.12,2004.01,2004.02,2004.03,2004.04,2004.05,2004.06,2004.07,2004.08,2004.09,2004.1,2004.11,2004.12,2005.01,2005.02,2005.03,2005.04,2005.05,2005.06,2005.07,2005.08,2005.09,2005.1,2005.11,2005.12,2006.01,2006.02,2006.03,2006.04,2006.05,2006.06,2006.07,2006.08,2006.09,2006.1,2006.11,2006.12,2007.01,2007.02,2007.03,2007.04,2007.05,2007.06,2007.07,2007.08,2007.09,2007.1,2007.11,2007.12,2008.01,2008.02,2008.03,2008.04,2008.05,2008.06,2008.07,2008.08,2008.09,2008.1,2008.11,2008.12,2009.01,2009.02,2009.03,2009.04,2009.05,2009.06,2009.07,2009.08,2009.09,2009.1,2009.11,2009.12,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.1,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.1,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.1,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.1,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.1,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.1,2022.11,2022.12,2023.01,2023.02
원유,국제유가(Dubai) (US$/배럴),20.6,18.9,24.5,19,16.8,13.3,20.9,14.8,18,19.5,22.8,21.3,18.4,24.7,19.6,21.1,22.5,23.4,22.7,25.4,25,29.8,36.1,26.9,23.1,28.1,34.6,30.5,33.8,32.1,34.8,37.5,41.3,40.5,43.2,41.2,42,44.7,41.1,42.3,51.1,45.2,48.8,55.5,50.4,45.8,43.8,46.6,45,55.9,58.9,64,64.7,65.7,69.7,67.4,73.3,77.2,87,85.7,87.2,89.9,67.6,66.9,81.3,82.4,93.2,92.5,96.3,69.1,51.2,38.6,40,32.4,27.4,33.7,32.7,37.7,45.2,49.3,48.6,52.4,43.7,55.1,58.2,51.2,51.2,58.3,63.9,51,51.9,74.2,75.2,58.7,63,67.2,75.7,100.2,108.5,115.8,108,107.5,110.2,105,105.8,103.5,107.9,105.5,109.5,116.2,122.5,117.3,107.3,94.4,99.1,108.6,111.2,109,107.3,106.4,107.9,111.1,105.6,101.7,100.3,100.2,103.6,107.1,107.9,105.6,105.5,107.5,104,105,104.4,104.6,105.6,107.9,106.1,101.9,96.6,86.8,77.1,60.2,45.8,55.7,54.7,57.7,63,60.8,55.6,47.8,45.8,45.8,41.6,34.9,26.9,28.9,35.2,39,44.3,46.3,42.5,43.6,43.3,49,43.9,52.1,53.7,54.4,51.2,52.3,50.7,46.5,47.6,50.2,53.7,55.5,60.8,61.6,66.2,62.7,62.7,68.3,74.4,73.6,73.1,72.5,77.2,79.4,65.6,57.3,59.1,64.6,66.9,70.9,69.4,61.8,63.3,59.1,61.1,59.4,62,64.9,64.3,54.2,33.7,20.4,30.5,40.8,43.3,44,41.5,40.7,43.4,49.8,54.8,60.9,66.4,62.9,66.3,71.6,72.9,69.5,72.6,81.6,80.3,73.2,83.2,92.4,110.9,102.8,108.2,113.3,103.1,96.6,91,91.2,86.3,77.2,80.4,82.1
원유,도입단가 (US$/배럴),28.4,30.9,31.9,28.3,26.7,25,25.8,27.9,30.5,27.4,29.8,29.9,30.8,31.1,31.8,33.3,34.9,35.7,36.2,37.9,39.6,40.6,40.9,36.2,37.9,40.4,43.5,48.4,47.7,48.7,52.9,55.1,57.5,56.8,55.3,53,52.1,59.8,60.4,60.3,62.4,61.6,71.8,69.4,64,58.5,57.2,58.7,56.7,53.7,58.6,62.8,63.7,73.1,70.7,70.3,71.7,76.1,83.1,87.3,89.7,91.4,92.8,99.7,106.9,124.2,133.9,127.6,115.5,98.1,68.9,51.5,42.8,43.3,44.2,47.5,48.9,59.5,69.8,68.5,72.1,70.5,74.2,78.6,78.1,73.5,77.3,83.8,84.9,79.5,77.4,74.6,76,76.7,82.1,85.7,91.1,95.6,103.6,113.4,113.3,115.6,110.9,112.3,109.8,109.7,108,113.8,112.5,117,121.2,127.8,121.8,112.5,102.4,105.7,112.6,116,113.7,112.1,109.8,114,115.9,109.4,106.7,104,103.5,108.9,112.3,111.1,109.9,109,110.5,110,110.8,107.9,107.2,110.6,110.5,107.8,106.4,97.2,86.7,74.9,59.5,48.1,56,54.9,61.7,63.6,63.5,56.3,49.6,47,46.3,42.3,34,29,30.9,36.4,39.7,44.3,46.6,43.9,42.6,46,48.1,47,52.2,56,54.7,52.9,52.9,50.6,47.4,48.5,51.7,54.4,57.5,62.3,64.7,67.8,64.4,65.9,70.3,74.6,75.2,77.4,77,80,79.1,67.9,60.9,61.2,64.7,67.9,73.3,69.2,67.2,65.2,65,65.6,65.1,65.9,69.3,68.6,57,37.5,24.1,28.1,39.3,44.3,46.3,43.2,41.7,45.1,51.2,56.3,62.5,64.9,65.8,68.9,73.9,73.5,73.3,76.2,82.4,81.6,79.1,88.1,97.4,112.4,108.8,115.3,117.4,108.8,106,101.3,97.2,90.7,85,86.4
원유,도입물량 (백만배럴),74.2,61.3,76.8,67.1,63.1,53.5,81.1,52.8,59.1,71.3,76.6,71.3,59.6,79.4,61.5,63.2,64.5,65.5,62.7,67.2,63.1,73.3,88.1,74.3,60.9,69.6,79.5,62.9,70.9,65.8,65.8,68.1,71.8,71.3,76.2,77.7,80.5,74.8,68,70.1,81.8,73.4,68,80,78.7,78.3,76.6,80,72.5,72,79.6,68,78.4,78.5,71.2,69.6,66.6,69.9,75.2,73.9,81.4,68.1,72.8,67.1,76,66.4,69.6,72.5,69,70.4,74.3,75.1,93.4,74.8,62,70.9,66.7,63.4,64.7,72,67.4,74.3,58.9,70.1,74.5,69.7,66.3,69.6,75.3,64.2,67.2,75.1,74.3,76.6,76.8,78.5,83.1,70.8,80,75.2,76,73.5,78.3,72.9,80.6,83,73.2,79.8,80.1,80.1,73.2,71.9,82.4,78.2,78.4,79.9,80.8,81,80.2,80.1,81.7,77.3,72,68.2,75.8,76.2,80.5,70.3,72.8,79,75.8,74.2,78.4,72.9,74.2,71.2,72.7,71.8,81.4,85.7,76.8,74.5,83,80.8,84.7,80,82.2,80.8,94.3,80,91.6,88.7,78.1,83.9,81.7,98.3,82.7,96.7,85.9,87.6,92.7,84,90.1,86.1,94.2,84.6,91.6,99.8,93.7,88.6,95.9,84.5,92.7,87.3,93.6,101.5,92.1,92.8,94.7,99.9,99.8,94.4,82.8,87.2,95.2,98,96.7,92.2,79.7,97.8,95.3,93,93.1,98.5,87.1,95.7,82.3,85.7,84.2,97.1,76.5,80.6,90.9,89.5,92.7,84.8,84.1,82.3,78.8,73.1,86.4,78.9,77.6,82.1,69.5,84.4,76.9,75,71.9,83.4,81,80.2,78,82.8,78.6,85.1,80.4,86.9,94.8,79.3,85.6,85.9,81.6,74.1,98.2,96.9,85.6,79.5,82.9,87.1,81.6,84
