Date	kospi_SMB	kospi_HML	kosdaq_SMB	kosdaq_HML	SMB	HML
1997-09-10	-0.007846248	0.001754318	0.011920442	-0.007159755	-0.008337231	2.25E-05
1997-09-11	0.005238804	0.000235214	0.007319835	-0.002019784	0.002153827	0.001276673
1997-09-12	0.00013313	-0.005066822	-0.01048166	-0.002061562	0.000244522	-0.003523624
1997-09-13	0.00075414	0.004814566	0.002964665	0.000741567	0.000737796	0.004372205
1997-09-18	-0.00408487	-0.000957961	-0.009028172	0.003852137	-0.001751002	-0.001286495
1997-09-19	0.013274854	-0.001152071	0.005316495	0.006330308	0.013493263	-0.000272717
1997-09-20	0.016600906	-0.001019888	0.003794306	-0.005258284	0.018392636	-0.003630199
1997-09-22	0.015436167	-0.001856866	-0.006633571	0.006551696	0.014926887	-0.002744465
1997-09-23	0.016285745	0.001684658	-0.000848773	0.011299232	0.01784579	0.00183045
1997-09-24	0.011579178	-0.000554097	0.00474196	-0.015356139	0.009919856	-0.001976707
1997-09-25	0.000375272	-0.010234711	6.35E-05	-0.014642332	0.002992811	-0.010123089
1997-09-26	-0.005354131	-0.011378137	0.003617055	-0.006926785	-0.002253056	-0.008956163
1997-09-27	-0.011265888	0.001627844	-0.005177436	-0.01638828	-0.005618375	0.000418967
1997-09-29	-0.027809987	0.016674531	0.002649274	-0.000771266	-0.022076138	0.016366021
1997-09-30	-0.003533978	0.003099299	0.008572537	0.001730661	-0.01123834	0.004651114
1997-10-01	0.011634845	-0.005623133	0.001532957	0.014452935	0.011493079	-0.004002007
1997-10-02	0.001576646	-0.007223205	0.004711165	0.0019871	0.002724983	-0.007565264
1997-10-04	-0.00421306	0.00696009	-0.002186336	-0.000245905	-0.004564342	0.007475849
1997-10-06	0.011288839	-0.008805991	0.007151775	0.000552012	0.010419886	-0.007537595
1997-10-07	0.0135396	-0.007889289	0.010219942	-0.005315501	0.014845472	-0.006811498
1997-10-08	0.011832358	-0.005495764	0.002836422	0.008574397	0.01450772	-0.005075937
1997-10-09	-0.001938947	-0.012501051	-0.006383534	-0.011847117	-0.000293443	-0.013538941
1997-10-10	0.005399829	0.000512029	-0.006019555	-0.004376006	0.004847599	-0.000580002
1997-10-11	-0.00408936	-0.004533862	0.003791035	-0.002132833	-0.006301821	-0.00270968
1997-10-13	0.001039311	-0.002158226	0.008273919	0.006184061	0.001470871	-0.001920059
1997-10-14	-0.008232706	-0.001914425	0.013117365	0.006462996	-0.011331569	-0.000271951
1997-10-15	-0.003833823	-0.006220534	0.000124361	0.005887453	0.002077907	-0.00760877
1997-10-16	0.008797407	0.002305549	0.000467554	-0.010444405	0.012171502	-0.000582968
1997-10-17	0.006965577	0.012791899	-0.011775	0.003957348	0.003611445	0.012936746
1997-10-18	-0.019570131	0.012270153	-1.88E-05	0.008706561	-0.016747219	0.012477771
1997-10-20	-0.022885977	0.005127928	-0.011718847	0.002578117	-0.014015578	0.001399274
1997-10-21	-0.019930138	0.019311964	0.005498758	0.007595489	-0.01927787	0.017698035
