"COMPANY","TICKER","MARKET_PRICE","PBR (현재 가격 / 장부가치 )","PER (현재 가격 / 순이익 )","시가총액 (백만 USD)","영업이익률","ROE (순이익 /자본)"
"세방전지","004490","45500","0.4783","9.9078","481","4.6167","4.8286"
"삼양홀딩스","000070","69200","0.2923","3.3911","460.4","5.9018","9.2852"
"한화투자증권","003530","2695","0.3031","6.3977","456.6","-0.8012","5.5024"
"쿠쿠홀딩스","192400","16400","0.5678","3.9393","440.4","7.3663","14.5652"
"유안타증권","003470","2680","0.3437","-20.3874","431.2","15.0354","-0.6694"
"현대홈쇼핑","057050","47550","0.2901","5.7453","430.9","5.4901","5.0381"
"솔브레인홀딩스","036830","27050","0.472","8.9909","428.2","18.3809","5.1687"
"에이프로젠","007460","720","0.5958","-19.5507","413.8","-4.3473","-3.2368"
"성우하이텍","015750","6350","0.4043","7.5466","383.6","2.1456","5.2302"
"롯데손해보험","000400","1560","0.4952","5.4998","365.6","3.0933","10.0528"
"LF","093050","15850","0.3294","3.2476","350","10.6131","10.09"
"티와이홀딩스","363280","11950","0.2898","3.5637","349.8","11.7541","8.602"
"고려제강","002240","20100","0.292","3.2121","349.1","6.6135","9.1239"
"세아제강지주","003030","145500","0.4798","2.5205","347.6","14.336","18.5064"
"한화손해보험","000370","3940","0.3513","2.4644","347.3","1.0415","14.4052"
"세방","004360","21450","0.3997","7.1196","337.8","3.6064","6.3323"
"서부T&D","006730","7340","0.6134","9.1256","334.8","2.4738","7.16"
"DI동일","001530","17100","0.5417","6.4379","330.2","6.9843","8.4693"
"미래에셋생명","085620","2855","0.2478","3.4181","313","-14.2694","7.5874"
"국도화학","007690","46000","0.4832","2.462","313","10.5677","20.0516"
