"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 03","317.29","319.75","322.47","317.18","58.00M","-0.65%"
"2023- 05- 02","319.38","322.12","322.45","317.61","55.70M","-0.87%"
"2023- 05- 01","322.19","322.09","323.63","321.09","40.30M","-0.11%"
"2023- 04- 28","322.56","320.11","322.65","318.96","59.71M","0.69%"
"2023- 04- 27","320.35","315.70","320.86","315.05","62.64M","2.72%"
"2023- 04- 26","311.87","313.44","314.93","311.34","53.43M","0.61%"
"2023- 04- 25","309.99","314.29","314.97","309.89","54.77M","-1.89%"
"2023- 04- 24","315.95","316.38","317.74","313.74","44.04M","-0.21%"
"2023- 04- 21","316.61","315.88","317.39","314.12","59.00M","0.10%"
"2023- 04- 20","316.28","315.69","319.27","314.97","62.08M","-0.76%"
"2023- 04- 19","318.71","316.41","319.79","316.28","38.96M","-0.05%"
"2023- 04- 18","318.86","320.99","321.42","317.64","46.10M","0.01%"
"2023- 04- 17","318.84","318.15","319.20","316.04","42.55M","0.08%"
"2023- 04- 14","318.57","317.69","320.33","315.66","56.28M","-0.19%"
"2023- 04- 13","319.17","314.83","319.65","314.64","53.55M","1.96%"
"2023- 04- 12","313.04","317.82","318.42","312.57","62.44M","-0.88%"
"2023- 04- 11","315.83","317.83","317.89","315.31","39.73M","-0.64%"
"2023- 04- 10","317.87","315.07","317.92","313.25","42.29M","-0.06%"
"2023- 04- 06","318.05","314.10","318.52","312.92","46.92M","0.67%"
"2023- 04- 05","315.92","318.10","319.06","314.07","62.24M","-0.99%"
"2023- 04- 04","319.07","320.60","321.63","317.83","45.40M","-0.34%"
"2023- 04- 03","320.15","318.77","320.42","317.42","46.57M","-0.24%"
"2023- 03- 31","320.93","315.91","321.17","315.60","62.14M","1.66%"
"2023- 03- 30","315.68","315.24","316.32","312.81","57.04M","0.95%"
"2023- 03- 29","312.72","310.88","313.35","310.05","52.91M","1.82%"
"2023- 03- 28","307.12","308.17","308.20","304.77","47.93M","-0.53%"
"2023- 03- 27","308.76","311.60","312.70","307.89","49.54M","-0.69%"
"2023- 03- 24","310.89","309.32","310.99","306.95","57.25M","0.37%"
"2023- 03- 23","309.75","309.92","314.15","307.01","73.52M","1.19%"
"2023- 03- 22","306.12","310.27","315.25","305.95","74.96M","-1.36%"
"2023- 03- 21","310.34","307.94","310.80","306.39","48.78M","1.43%"
"2023- 03- 20","305.97","304.26","306.30","302.01","55.88M","0.20%"
"2023- 03- 17","305.36","306.72","309.15","303.37","89.92M","-0.47%"
"2023- 03- 16","306.81","298.00","307.18","297.19","98.56M","2.64%"
"2023- 03- 15","298.93","294.71","299.27","293.24","82.93M","0.52%"
"2023- 03- 14","297.37","294.31","297.93","293.45","73.13M","2.30%"
"2023- 03- 13","290.69","286.73","294.47","285.19","96.27M","0.74%"
"2023- 03- 10","288.55","292.83","294.35","287.38","98.59M","-1.40%"
"2023- 03- 09","292.66","298.33","300.98","291.83","70.02M","-1.73%"
"2023- 03- 08","297.82","296.77","298.43","294.88","50.88M","0.50%"
"2023- 03- 07","296.34","300.07","301.01","295.72","65.96M","-1.23%"
"2023- 03- 06","300.02","300.94","304.00","299.82","56.74M","0.11%"
"2023- 03- 03","299.68","295.42","299.90","294.89","60.51M","2.07%"
"2023- 03- 02","293.61","288.66","294.43","288.37","52.90M","0.83%"
"2023- 03- 01","291.20","293.26","293.93","290.20","57.62M","-0.80%"
"2023- 02- 28","293.56","293.30","296.12","292.96","48.24M","-0.13%"
"2023- 02- 27","293.94","295.07","296.49","293.34","49.00M","0.72%"
"2023- 02- 24","291.85","291.48","292.85","290.08","74.33M","-1.67%"
"2023- 02- 23","296.82","297.97","298.13","292.55","68.51M","0.87%"
"2023- 02- 22","294.25","294.62","296.36","292.56","50.28M","0.07%"
"2023- 02- 21","294.03","297.26","298.73","293.89","46.21M","-2.37%"
"2023- 02- 17","301.16","301.07","301.93","298.10","58.23M","-0.71%"
"2023- 02- 16","303.30","304.38","308.43","303.15","58.54M","-1.88%"
"2023- 02- 15","309.10","304.90","309.27","304.20","42.71M","0.77%"
"2023- 02- 14","306.75","302.89","307.72","300.91","63.30M","0.74%"
"2023- 02- 13","304.50","301.13","305.10","299.93","39.32M","1.60%"
"2023- 02- 10","299.70","299.48","301.57","297.25","50.05M","-0.66%"
"2023- 02- 09","301.68","308.84","308.99","300.20","48.43M","-0.88%"
"2023- 02- 08","304.37","308.54","309.50","303.67","56.24M","-1.78%"
"2023- 02- 07","309.88","303.46","311.03","302.32","66.96M","2.07%"
"2023- 02- 06","303.59","303.51","305.91","302.22","40.80M","-0.85%"
"2023- 02- 03","306.18","304.94","312.39","304.54","76.17M","-1.78%"
"2023- 02- 02","311.72","307.57","313.68","306.73","80.45M","3.59%"
