"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 10- 01","293.24","297.74","298.45","293.00","89.90M","-1.19%"
"2019- 09- 30","296.77","295.97","297.55","295.92","52.56M","0.46%"
"2019- 09- 27","295.40","297.83","297.95","293.69","84.78M","-0.54%"
"2019- 09- 26","297.00","297.63","297.86","295.45","58.72M","-0.21%"
"2019- 09- 25","297.62","295.96","298.11","294.33","73.43M","0.59%"
"2019- 09- 24","295.87","299.41","299.84","294.81","97.37M","-0.78%"
"2019- 09- 23","298.21","297.55","299.00","297.27","47.54M","-0.02%"
"2019- 09- 20","298.28","300.36","300.67","297.41","97.46M","-0.93%"
"2019- 09- 19","301.08","301.53","302.63","300.71","78.10M","-0.01%"
"2019- 09- 18","301.10","300.49","301.22","298.24","74.19M","0.06%"
"2019- 09- 17","300.92","299.94","301.02","299.75","42.90M","0.25%"
"2019- 09- 16","300.16","299.84","301.14","299.45","58.19M","-0.31%"
"2019- 09- 13","301.09","301.78","302.17","300.68","62.10M","-0.07%"
"2019- 09- 12","301.29","301.25","302.46","300.41","72.91M","0.35%"
"2019- 09- 11","300.25","298.47","300.34","297.75","68.82M","0.71%"
"2019- 09- 10","298.13","297.36","298.20","295.97","57.95M","-0.02%"
"2019- 09- 09","298.20","299.14","299.24","297.16","51.26M","0.05%"
"2019- 09- 06","298.05","298.17","298.76","297.42","49.58M","0.08%"
"2019- 09- 05","297.82","296.79","298.83","294.00","83.36M","1.29%"
"2019- 09- 04","294.04","293.14","294.06","292.31","47.00M","1.14%"
"2019- 09- 03","290.74","290.57","291.58","289.27","69.23M","-0.58%"
"2019- 08- 30","292.45","294.22","294.24","291.42","62.96M","-0.04%"
"2019- 08- 29","292.58","291.72","293.16","290.61","58.00M","1.28%"
"2019- 08- 28","288.89","286.14","289.07","285.25","59.85M","0.70%"
"2019- 08- 27","286.87","289.54","289.95","286.03","68.26M","-0.39%"
"2019- 08- 26","288.00","287.27","288.00","285.58","72.62M","1.11%"
"2019- 08- 23","284.85","290.92","292.76","283.47","149.32M","-2.57%"
"2019- 08- 22","292.36","293.23","293.93","290.40","51.74M","-0.03%"
"2019- 08- 21","292.45","292.48","292.86","291.72","49.72M","0.81%"
"2019- 08- 20","290.09","291.77","292.36","289.95","51.65M","-0.77%"
"2019- 08- 19","292.33","292.19","293.08","291.44","53.64M","1.20%"
"2019- 08- 16","288.85","286.48","289.33","284.71","85.83M","1.48%"
"2019- 08- 15","284.65","284.88","285.64","282.39","101.93M","0.26%"
"2019- 08- 14","283.90","288.07","292.46","283.76","135.62M","-2.96%"
"2019- 08- 13","292.55","287.74","294.15","287.36","94.79M","1.56%"
"2019- 08- 12","288.07","289.96","291.61","287.02","65.53M","-1.22%"
"2019- 08- 09","291.62","292.58","293.24","289.65","93.73M","-0.68%"
"2019- 08- 08","293.62","289.62","293.62","289.01","87.71M","1.96%"
"2019- 08- 07","287.97","284.40","288.82","282.04","140.57M","0.06%"
"2019- 08- 06","287.80","285.91","288.04","284.28","120.71M","1.40%"
"2019- 08- 05","283.82","288.09","288.21","281.72","178.75M","-3.01%"
"2019- 08- 02","292.62","293.85","294.12","290.90","116.75M","-0.75%"
"2019- 08- 01","294.84","297.60","300.87","293.96","142.65M","-0.87%"
"2019- 07- 31","297.43","300.99","301.20","295.20","104.25M","-1.09%"
"2019- 07- 30","300.72","299.91","301.17","299.49","45.85M","-0.25%"
"2019- 07- 29","301.46","301.88","301.93","300.85","38.13M","-0.18%"
"2019- 07- 26","302.01","300.76","302.23","300.62","45.08M","0.67%"
"2019- 07- 25","300.00","300.94","301.00","299.11","55.39M","-0.48%"
"2019- 07- 24","301.44","299.19","301.44","299.09","47.21M","0.47%"
"2019- 07- 23","300.03","299.14","300.03","298.22","44.66M","0.72%"
"2019- 07- 22","297.90","297.61","298.50","297.04","43.69M","0.25%"
"2019- 07- 19","297.17","300.04","300.07","296.96","71.08M","-0.56%"
"2019- 07- 18","298.83","297.19","299.25","296.70","51.70M","0.37%"
"2019- 07- 17","297.74","299.75","299.93","297.74","44.10M","-0.66%"
"2019- 07- 16","299.71","300.65","300.88","299.44","40.57M","-0.35%"
"2019- 07- 15","300.75","301.13","301.13","300.19","33.91M","0.03%"
"2019- 07- 12","300.65","299.85","300.73","299.51","40.35M","0.45%"
"2019- 07- 11","299.31","299.32","299.58","298.20","50.89M","0.23%"
"2019- 07- 10","298.61","298.37","299.66","297.78","58.60M","0.48%"
"2019- 07- 09","297.19","295.54","297.52","295.48","41.10M","0.12%"
"2019- 07- 08","296.82","297.01","298.26","296.22","45.84M","-0.55%"
"2019- 07- 05","298.46","297.44","298.64","296.01","51.68M","-0.11%"
"2019- 07- 03","298.80","297.18","298.82","297.02","40.90M","0.80%"
"2019- 07- 02","296.43","295.61","296.49","294.68","61.50M","0.26%"
"2019- 07- 01","295.66","296.68","296.92","294.33","79.11M","0.91%"
"2019- 06- 28","293.00","292.58","293.55","292.01","59.35M","0.51%"
"2019- 06- 27","291.50","291.31","292.06","290.89","40.36M","0.35%"
"2019- 06- 26","290.47","291.75","292.31","290.35","51.58M","-0.10%"
"2019- 06- 25","290.76","293.70","293.73","290.64","82.03M","-0.98%"
"2019- 06- 24","293.64","294.23","294.58","293.47","47.58M","-0.12%"
"2019- 06- 21","294.00","294.13","295.52","293.76","83.31M","-0.63%"
"2019- 06- 20","295.86","296.04","296.31","293.13","116.57M","0.96%"
"2019- 06- 19","293.06","292.55","293.65","291.47","78.67M","0.23%"
"2019- 06- 18","292.40","291.39","293.57","290.99","85.43M","1.05%"
"2019- 06- 17","289.37","289.52","290.22","289.18","39.21M","0.04%"
"2019- 06- 14","289.26","289.26","289.93","288.41","52.32M","-0.11%"
"2019- 06- 13","289.58","289.40","289.98","288.62","48.95M","0.41%"
"2019- 06- 12","288.39","288.64","289.26","287.81","47.10M","-0.18%"
"2019- 06- 11","288.90","290.99","291.40","288.18","58.64M","-0.02%"
"2019- 06- 10","288.97","289.37","290.82","288.87","60.80M","0.46%"
"2019- 06- 07","287.65","285.93","288.85","285.74","74.27M","1.00%"
"2019- 06- 06","284.80","283.29","285.55","282.57","69.43M","0.65%"
"2019- 06- 05","282.96","282.33","282.99","280.32","71.17M","0.87%"
"2019- 06- 04","280.53","277.12","280.68","276.62","77.23M","2.17%"
"2019- 06- 03","274.57","275.31","276.55","273.09","96.43M","-0.25%"
"2019- 05- 31","275.27","276.20","277.12","275.24","86.86M","-1.35%"
"2019- 05- 30","279.03","279.11","280.04","277.81","62.52M","0.27%"
"2019- 05- 29","278.27","278.91","279.36","276.71","104.97M","-0.67%"
"2019- 05- 28","280.15","283.09","284.15","280.13","70.03M","-0.93%"
"2019- 05- 24","282.78","283.74","284.20","282.09","55.27M","0.23%"
"2019- 05- 23","282.14","283.16","283.21","280.57","98.73M","-1.22%"
"2019- 05- 22","285.63","285.45","286.69","285.10","49.48M","-0.31%"
"2019- 05- 21","286.51","285.83","286.93","285.55","46.85M","0.90%"
"2019- 05- 20","283.95","284.06","285.43","283.12","62.88M","-0.66%"
