통계표,"1.2.1.1 본원통화 구성내역(말잔, 계절조정계열)","1.2.1.1 본원통화 구성내역(말잔, 계절조정계열)","1.2.1.1 본원통화 구성내역(말잔, 계절조정계열)"
항목명1,"본원통화(말잔, 계절조정계열)","현금통화","중앙은행 대 예금취급기관부채"
단위,"십억원 ","십억원 ","십억원 "
변환,"원자료","원자료","원자료"
2011,"77,508.1","38,978.2","38,529.9"
2012,"86,077.8","43,873.5","42,204.4"
2013,"102,276.0","52,942.1","49,333.9"
2014,"115,375.6","64,182.5","51,193.2"
2015,"130,151.6","75,969.4","54,182.3"
2016,"141,968.5","85,692.0","56,276.4"
2017,"154,682.6","95,559.1","59,123.4"
2018,"173,189.2","104,182.0","69,007.3"
2019,"193,331.8","114,711.6","78,620.2"
2020,"223,231.4","136,035.2","87,196.2"
2021,"250,406.5","155,810.2","94,596.3"
1) 1.2.1.1 본원통화 구성내역(말잔, 계절조정계열)
통계담당 : 한국은행 경제통계국 금융통계팀(02-759-4310)
주 : 1) 본원통화 = 현금통화 + 중앙은행의 대 예금취급기관 부채 등(RP, 통화안정증권 제외)
2) 최종월은 잠정치

