날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI
2022-09-22,54400,785000,86000,626000,629000
2022-09-23,54500,770000,83500,604000,610000
2022-09-26,53900,758000,82500,571000,597000
2022-09-27,54200,754000,82000,569000,587000
2022-09-28,52900,767000,81200,546000,564000
2022-09-29,52600,813000,80800,547000,566000
2022-09-30,53100,807000,83100,536000,546000
2022-10-04,55200,811000,86200,555000,556000
2022-10-05,56000,807000,89800,560000,569000
2022-10-06,56300,812000,89900,583000,585000
2022-10-07,56200,811000,91200,589000,591000
2022-10-11,55400,802000,90200,597000,600000
2022-10-12,55800,820000,94000,591000,610000
2022-10-13,55200,807000,94900,575000,596000
2022-10-14,56300,806000,95500,573000,603000
2022-10-17,56600,830000,95200,575000,605000
2022-10-18,56500,845000,95800,611000,605000
2022-10-19,55800,847000,92900,593000,606000
2022-10-20,55500,835000,90200,569000,589000
2022-10-21,55900,847000,90500,568000,627000
2022-10-24,57500,873000,91800,575000,650000
2022-10-25,57700,884000,93500,552000,655000
2022-10-26,59400,896000,93900,562000,677000
2022-10-27,59500,873000,90000,599000,727000
2022-10-28,57300,876000,83400,615000,727000
2022-10-31,59400,877000,82700,626000,737000
2022-11-01,60000,882000,83900,695000,760000
2022-11-02,59600,873000,84500,672000,725000
2022-11-03,59200,870000,82700,683000,739000
2022-11-04,59400,871000,84500,690000,733000
2022-11-07,60200,883000,86500,704000,740000
2022-11-08,61800,900000,87700,691000,730000
2022-11-09,62000,895000,89200,715000,738000
2022-11-10,60400,907000,89100,695000,725000
2022-11-11,62900,900000,93500,737000,747000
2022-11-14,61900,901000,90900,726000,759000
2022-11-15,62400,906000,91600,710000,718000
2022-11-16,62700,880000,91500,707000,722000
2022-11-17,61400,875000,87700,700000,700000
2022-11-18,61800,882000,88400,704000,701000
2022-11-21,61400,888000,86300,682000,694000
2022-11-22,60600,888000,85200,687000,680000
2022-11-23,61000,888000,85200,701000,701000
2022-11-24,61400,896000,86900,728000,720000
2022-11-25,61000,903000,85100,721000,725000
2022-11-28,60100,885000,83100,719000,727000
2022-11-29,60600,885000,83700,715000,718000
2022-11-30,62200,887000,85000,740000,729000
2022-12-01,62600,884000,84700,722000,726000
2022-12-02,60400,870000,81900,711000,718000
2022-12-05,60300,833000,81000,696000,697000
2022-12-06,59200,838000,81000,686000,706000
2022-12-07,58900,831000,78900,679000,708000
2022-12-08,59200,827000,78800,670000,693000
2022-12-09,60400,827000,81500,627000,645000
2022-12-12,59500,815000,81100,628000,650000
2022-12-13,59700,820000,82300,623000,643000
2022-12-14,60500,837000,81800,646000,667000
2022-12-15,59300,823000,80200,643000,665000
2022-12-16,59500,835000,78400,645000,667000
2022-12-19,59500,821000,79000,633000,647000
2022-12-20,58600,820000,78300,631000,645000
2022-12-21,58000,818000,78000,620000,634000
2022-12-22,59100,824000,79200,626000,637000
2022-12-23,58100,806000,77800,610000,622000
2022-12-26,57900,822000,77000,618000,624000
2022-12-27,58100,828000,77000,628000,624000
2022-12-28,56600,830000,76000,602000,603000
2022-12-29,55300,821000,75000,600000,591000
