날짜,편입비중_삼성전자,편입비중_삼성바이오로직스,편입비중_SK하이닉스,편입비중_LG화학,편입비중_삼성SDI,지수,설정좌수,환매좌수,총좌수,iNAV,AUM,매매내역_삼성전자,매매내역_삼성바이오로직스,매매내역_SK하이닉스,매매내역_LG화학,매매내역_삼성SDI,주식잔고_삼성전자,주식잔고_삼성바이오로직스,주식잔고_SK하이닉스,주식잔고_LG화학,주식잔고_삼성SDI
2020-03-13,0.7331288403894157,0.02578496624877853,0.1438747929454353,0.05193945856491723,0.045271941851453244,0.9214170979890461,200000,50000,3350000,9214.170979890461,30867472782.633045,20286.0,79.0,2410.0,211.0,225.0,453049,1764,53830,4708,5035
2020-03-16,0.7387647636650677,0.025000378061034542,0.14468326705813703,0.049066245279698384,0.04248534593606235,0.8951663839467936,200000,150000,3400000,8951.663839467936,30435657054.190983,6762.0,26.0,804.0,70.0,75.0,459811,1790,54634,4778,5110
2020-03-17,0.7347054662310556,0.024956871623874968,0.14838641082219006,0.04947867933238729,0.04247257199049211,0.8706607136166408,150000,150000,3400000,8706.607136166407,29602464262.965786,0.0,0.0,0.0,0.0,0.0,459811,1790,54634,4778,5110
2020-03-18,0.7451101843377058,0.025184873050636807,0.14192502681702346,0.0475498529379848,0.04023006285664913,0.8276475273786833,50000,0,3450000,8276.475273786833,28553839694.564575,6762.0,26.0,803.0,71.0,76.0,466573,1816,55437,4849,5186
2020-03-19,0.7537535095286324,0.024718900797229017,0.14388026234399562,0.041949762369387335,0.03569756496075557,0.7706104599341838,200000,100000,3550000,7706.1045993418375,27356671327.663525,13524.0,53.0,1607.0,140.0,150.0,480097,1869,57044,4989,5336
2020-03-20,0.7420604809415287,0.027047847736265576,0.14526834865072713,0.04628981522126883,0.03933350745020981,0.827404022841816,150000,100000,3600000,8274.04022841816,29786544822.305378,6762.0,26.0,804.0,70.0,75.0,486859,1895,57848,5059,5411
2020-03-23,0.7373616868683687,0.029111136703115312,0.14306620581821333,0.04832389387996942,0.0421370767303333,0.7794880126143802,200000,50000,3750000,7794.880126143802,29230800473.039257,20286.0,79.0,2410.0,211.0,226.0,507145,1974,60258,5270,5637
2020-03-24,0.7351333037576085,0.028682608364732146,0.14641689239515973,0.04686606377142756,0.04290113171107206,0.863715229313966,200000,100000,3850000,8637.152293139661,33253036328.587696,13524.0,53.0,1607.0,141.0,150.0,520669,2027,61865,5411,5787
2020-03-25,0.7307416134642392,0.027457188655598253,0.15080774820631898,0.04800225118968608,0.04299119848415751,0.9003680668290485,150000,100000,3900000,9003.680668290484,35114354606.332886,6762.0,26.0,803.0,70.0,75.0,527431,2053,62668,5481,5862
2020-03-26,0.7352177540189501,0.027021524326284532,0.1474849057986709,0.0478762808424438,0.04239953501365073,0.8792512400784254,50000,0,3950000,8792.512400784253,34730423983.0978,6761.0,27.0,804.0,70.0,75.0,534192,2080,63472,5551,5937
