날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI,삼성전자_시가총액,삼성바이오로직스_시가총액,SK하이닉스_시가총액,LG화학_시가총액,삼성SDI_시가총액,시가총액합,지수,설정,환매,총좌수,삼성전자_편입비중,삼성바이오로직스_편입비중,SK하이닉스_편입비중,LG화학_편입비중,삼성SDI_편입비중,iNAV,AUM,삼성전자_일자별매매내역,삼성바이오로직스_일자별매매내역,SK하이닉스_일자별매매내역,LG화학_일자별매매내역,삼성SDI_일자별매매내역,삼성전자_주식잔고,삼성바이오로직스_주식잔고,SK하이닉스_주식잔고,LG화학_주식잔고,삼성SDI_주식잔고
2020-01-02,55200,423485,94700,314000,232000,249828066448800,7463357349040,50925825691700,14769550804000,11671091064000,334657891357540,100.0,1000000,0,1000000,0.7465177809953091,0.0223014533402003,0.1521727919969834,0.04413328113700623,0.034874692530500954,10000.0,10000000000.0,135238.72844117918,526.617314431451,16068.932629037316,1405.5185075479692,1503.2195056250412,135238.72844117918,526.617314431451,16068.932629037316,1405.5185075479692,1503.2195056250412
2020-01-03,55500,417061,94500,311000,229000,251185827679500,7350142931504,50818273789500,14628440446000,11520171783000,335502856629504,100.2524862833912,50000,0,1050000,0.7486846168850498,0.021907840086204593,0.15146897495903783,0.043601537682745266,0.034337030386962494,10025.0,10526250000.0,6758.414774789388,26.317152486844293,803.0281927888409,70.23932535555923,75.12183110318574,141997.14321596856,552.9344669182952,16871.960821826156,1475.7578329035284,1578.341336728227
2020-01-06,55500,407178,94300,307000,230000,251185827679500,7175968260192,50710721887300,14440293302000,11570478210000,335083289338992,100.1271142837022,150000,100000,1100000,0.7496220661287114,0.021415476356185358,0.15133766290564774,0.043094638740373774,0.03453015586908171,10012.0,11013200000.0,6754.888111756212,26.303419720817374,802.6091581577202,70.20267320554149,75.0826311733847,148752.03132772478,579.2378866391126,17674.569979983877,1545.96050610907,1653.4239679016116
2020-01-07,55800,414096,94000,311000,231500,252543588910200,7297888767744,50549394034000,14628440446000,11645937850500,336665250008444,100.59982408983727,100000,100000,1100000,0.7501326284903651,0.021676988544439793,0.15014734675685168,0.04345099604320048,0.03459204016514299,10059.0,11064900000.0,-3.9574749821040314,-0.015410340447942872,-0.4702232829404238,-0.041129522545816144,-0.043988535345306445,148748.07385274267,579.2224762986647,17674.099756700936,1545.919376586524,1653.3799793662663
2020-01-08,56800,403719,97400,302000,229000,257069459679200,7115008006416,52377776371400,14205109372000,11520171783000,342287525212016,102.27983085159784,150000,100000,1150000,0.7510336800032921,0.02078664129523534,0.15302274407738561,0.04150051733028023,0.03365641729380672,10227.0,11761050000.0,6761.5152705446235,26.329225764720036,803.3965906433768,70.27154840450976,75.15629405436925,155509.5891232873,605.5517020633847,18477.496347344313,1616.1909249910339,1728.5362734206356
2020-01-09,58600,415085,99000,306500,232500,265216027063400,7315318571440,53238191589000,14416774909000,11696244277500,351882556410340,105.14694722509847,50000,50000,1150000,0.7537060937858034,0.020789091241310082,0.15129534163926406,0.04097041653917109,0.033239056794451285,10514.0,12091100000.0,4.672831892356044,0.01819592812148585,0.5552212870570656,0.048564133832769585,0.05193994448245576,155514.26195517965,605.5698979915062,18478.05156863137,1616.2394891248666,1728.588213365118
2020-01-10,59500,431391,98900,325000,249000,269289310755500,7602690036624,53184415637900,15286955450000,12526300323000,357889672203024,106.94194921005575,200000,150000,1200000,0.7524366632260271,0.021243111011907432,0.1486056172297967,0.04271415644910815,0.03500045208316061,10694.0,12832800000.0,6769.25421031547,26.35936106490817,804.3161238512912,70.35197819856421,75.24231471834992,162283.51616549512,631.9292590564144,19282.36769248266,1686.5914673234308,1803.830528083468
2020-01-13,60000,435345,100500,332500,259000,271552246140000,7672374004080,54044830855500,15639731345000,13029364593000,361938546937580,108.15180406156747,200000,50000,1350000,0.7502716923567468,0.021198001895617876,0.14932046147828676,0.0432110132433538,0.035998831025994715,10815.0,14600250000.0,20285.721773364756,78.99225646919149,2410.329498545758,210.82686683078396,225.48195333459898,182569.23793885988,710.9215155256059,21692.69719102842,1897.4183341542148,2029.312481418067
2020-01-14,60000,429909,100500,333500,265500,271552246140000,7576571766576,54044830855500,15686768131000,13356356368500,362216773261576,108.23494159729607,150000,100000,1400000,0.7496953928853474,0.020917230580883548,0.1492057652903648,0.04330768006613474,0.036873931177269545,10823.0,15152200000.0,6756.337595762801,26.309063986950832,802.7813844209886,70.2177375042163,75.09874262797302,189325.57553462268,737.2305795125567,22495.478575449408,1967.636071658431,2104.41122404604
2020-01-15,59000,429415,98200,328500,267500,267026375371000,7567865676560,52807983980200,15451584201000,13456969222500,356310778451260,106.47015583761825,200000,200000,1400000,0.7494198646800878,0.021239508132351415,0.14820765234701885,0.04336546951557805,0.03776750532496392,10647.0,14905800000.0,8.367159418878146,0.03258157684103935,0.9941776482883142,0.08695879911306292,0.0930035160058651,189333.94269404156,737.2631610893977,22496.472753097696,1967.7230304575442,2104.504227562046
