Symbol,Year,Return,TRI,TB90,MKTCAP,PB
TRP,2010,16.5644,32246.9805,0.67,26326.0703,1.5793
L,2010,30.797,32246.9805,0.67,12108.9863,1.8526
PWF,2010,-5.2264,32246.9805,0.67,20155.4414,1.8209
IGM,2010,-2.0782,32246.9805,0.67,10481.0205,2.4391
BPO,2010,26.9103,32246.9805,0.67,7663.5845,1.0874
CTC.A,2010,-3.1348,32246.9805,0.67,4513.3569,1.1693
BNS,2010,11.7532,32246.9805,0.67,53202.6875,2.3552
SAP,2010,23.0686,32246.9805,0.67,7054.1997,3.3026
CNR,2010,22.9592,32246.9805,0.67,30296.2461,2.6097
TD,2010,6.6046,32246.9805,0.67,63155.125,1.8105
MRU,2010,22.1982,32246.9805,0.67,4758.2573,2.0053
SC1,2010,-15.5581,32246.9805,0.67,7895.2866,1.9799
IAG,2010,2.0339,32246.9805,0.67,2518.1628,1.2547
AIM,2010,23.7991,32246.9805,0.67,2219.4443,1.2182
TLM,2010,-4.7159,32246.9805,0.67,17096.4648,1.4739
EMP.A,2010,29.8974,32246.9805,0.67,1861.7118,1.2819
BMO,2010,11.1321,32246.9805,0.67,33152.3516,1.778
X,2010,-19.7454,32246.9805,0.67,2108.9578,2.6883
TRI,2010,6.012,32246.9805,0.67,30799.5313,1.6022
POW,2010,-9.9349,32246.9805,0.67,10760.8545,1.3933
SJR.B,2010,16.3917,32246.9805,0.67,9469.1094,3.6028
RY,2010,-9.6546,32246.9805,0.67,72609.9453,2.1546
CWB,2010,31.8919,32246.9805,0.67,1623.7371,1.8812
ENB,2010,29.7066,32246.9805,0.67,20244.7539,2.7948
UFS,2010,65.2623,32246.9805,0.67,2702.5198,0.9625
CJR.B,2010,30.0601,32246.9805,0.67,1512.2603,1.6668
IFC,2010,30.6062,32246.9805,0.67,5072.8916,1.7532
ACM.A,2010,14.4076,32246.9805,0.67,2049.4895,1.5816
FTT,2010,27.7916,32246.9805,0.67,3522.9275,2.6229
MBT,2011,17.9273,35183.7109,0.89,2131.3257,2.2431
WN,2011,-16.7504,35183.7109,0.89,8770.2734,1.9343
POW,2011,-9.8897,35183.7109,0.89,9735.7109,1.2255
SLF,2011,5.9904,35183.7109,0.89,15404.4619,1.0891
PWF,2011,-5.7956,35183.7109,0.89,18987.3164,1.707
IFC,2011,24.155,35183.7109,0.89,6029.5215,2.0495
CU,2011,25.7862,35183.7109,0.89,7649.6221,2.4969
WJA,2011,22.1834,35183.7109,0.89,1937.4708,1.4797
KEY,2011,55.9374,35183.7109,0.89,3258.8843,4.8123
GWO,2011,-10.2041,35183.7109,0.89,20890.3555,1.9227
BCE,2011,18.0102,35183.7109,0.89,30616.9023,2.7663
CM,2011,5.3793,35183.7109,0.89,30472.6758,2.1822
,2011,17.7817,35183.7109,0.89,11764.7432,1.803
SJR.B,2011,2.4234,35183.7109,0.89,9771.3389,3.488
BMO,2011,4.2445,35183.7109,0.89,39133.5313,1.6206
T,2011,22.6818,35183.7109,0.89,17516.127,2.1733
IGM,2011,10.6617,35183.7109,0.89,11431.9531,2.7058
RY,2011,-1.7255,35183.7109,0.89,72010.2734,2.1282
SC1,2011,9.5291,35183.7109,0.89,8649.0088,2.0358
L,2011,-15.0839,35183.7109,0.89,10423.415,1.7718
TRP,2011,11.4737,35183.7109,0.89,29764.0117,1.7444
IAG,2011,19.3023,35183.7109,0.89,3023.7117,1.3849
MRU,2011,3.2565,35183.7109,0.89,4719.9756,1.8811
MFC,2011,12.8054,35183.7109,0.89,23938.9277,1.0422
BNS,2011,6.4,35183.7109,0.89,59207.0508,2.1562
FTS,2011,10.7494,35183.7109,0.89,6084.5874,1.6405
TRI,2011,-18.2015,35183.7109,0.89,25346.625,1.3196
TD,2011,7.3735,35183.7109,0.89,68959.0313,1.8379
HSE,2011,-1.8519,35183.7109,0.89,23132.9844,1.406
CNR,2011,10.6962,35183.7109,0.89,32455.3984,2.8295
MAXR,2011,4.4811,35183.7109,0.89,2006.828,2.8451
POW,2012,-0.7598,33696.3086,1.03,9665.0146,1.1792
RY,2012,10.0758,33696.3086,1.03,79682.0469,2.0779
