rdate,exp,cpi,yy,cpi_pct,exp_pct,cpi_mean4,cpi_std4,exp_mean4,exp_std4,exp_z,cpi_z,exp_inc,cpi_inc,cycle
2002-01-01,35.88,66.308,2002,0.0,0.3403063130369819,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,3.812821257490215,-0.3936049241694943,1,0,1
2002-02-01,25.15,66.624,2002,0.004765639138565314,-0.29905239687848395,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,-3.428961579381862,0.4113816604606158,0,1,-1
2002-03-01,30.73,67.003,2002,0.0056886407300673625,0.22186878727634207,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,2.47132261518909,0.5672902127340617,1,1,2
2002-04-01,30.99,67.382,2002,0.005656463143441481,0.008460787504067646,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,0.05412806378242734,0.5618549448074588,1,1,2
2002-05-01,32.05,67.634,2002,0.003739871182214749,0.03420458212326549,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,0.34571863279792736,0.23811435679015086,1,1,2
2002-06-01,29.65,67.571,2002,-0.0009314841647691807,-0.0748829953198128,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,-0.8898765562434292,-0.5509463079026128,0,0,-2
2002-07-01,31.8,67.382,2002,-0.002797057909458056,0.07251264755480613,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,0.7796201132244364,-0.8660691683306907,1,0,1
2002-08-01,32.29,67.824,2002,0.006559615327535351,0.015408805031446482,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,0.1328257233274284,0.7144106400533682,1,1,2
2002-09-01,31.89,68.204,2002,0.005602736494456195,-0.01238773614122013,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,-0.18201555695362062,0.5527797231188719,0,1,-1
2002-11-01,34.74,68.077,2002,-0.0018620608761948931,0.08936970837253067,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,0.9705538907998552,-0.7081344094113685,1,0,1
2002-12-01,33.45,68.391,2002,0.004612424166752449,-0.03713298791018993,0.0023301991207916734,0.0059201472789203275,0.003681957510167607,0.08828747344647278,-0.46229599542343863,0.3855013969140631,0,1,-1
2003-01-01,32.58,68.835,2003,0.006492082291529311,-0.026008968609865568,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.3410825509154828,0.9502048865444572,0,1,-1
2003-02-01,31.65,69.213,2003,0.005491392460230893,-0.028545119705340682,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.3652148066016374,0.7246742506497484,0,1,-1
2003-03-01,35.73,70.034,2003,0.011861933451808415,0.12890995260663507,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,1.1330185087926634,2.1604359780968716,1,1,2
2003-04-01,35.73,69.908,2003,-0.0017991261387326762,0.0,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.09359923584554078,-0.9184275819061213,0,0,-2
2003-05-01,34.16,69.782,2003,-0.0018023688276020966,-0.04394066610691294,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.511708153490025,-0.919158403445279,0,0,-2
2003-06-01,35.3,69.592,2003,-0.00272276518299841,0.03337236533957855,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,0.2239490579699754,-1.1265928839559547,1,0,1
2003-07-01,36.13,69.53,2003,-0.0008909070008046305,0.02351274787535429,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,0.13013177317221708,-0.7137375437922303,1,0,1
2003-08-01,35.58,69.845,2003,0.004530418524377966,-0.015222806531968058,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.23844890988339545,0.508094591246254,0,1,-1
2003-09-01,39.65,70.477,2003,0.009048607631183314,0.11439010680157402,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,0.9948577217179363,1.5263822069285213,1,1,2
2003-10-01,45.71,70.539,2003,0.0008797196248420125,0.15283732660781846,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,1.3606948125921556,-0.3146822757917059,1,0,1
2003-11-01,43.2,70.413,2003,-0.0017862459065198788,-0.05491139794355715,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,-0.6160980323968801,-0.9155246974452543,0,0,-2
2003-12-01,46.26,70.73,2003,0.004502009572096233,0.0708333333333333,0.0022759793933890154,0.004437046112731222,0.009836701865441215,0.10509382663843458,0.5804016602968056,0.5016919189368049,1,1,2
2004-01-01,40.73,71.172,2004,0.006249116357980977,-0.1195417207090359,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,-1.312574355725044,0.7991101476062515,0,1,-1
2004-02-01,45.13,71.487,2004,0.004425897824987368,0.10802848023569855,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,0.9607334039211556,0.38890609907934204,1,1,2
2004-03-01,50.57,72.181,2004,0.00970805880789527,0.12054066031464661,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,1.0857235649592911,1.5773340252709502,1,1,2
2004-04-01,49.87,72.181,2004,0.0,-0.01384219893217331,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,-0.25669119506207055,-0.6068720664679833,0,0,-2
2004-05-01,49.99,72.119,2004,-0.0008589518017206865,0.002406256266292539,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,-0.09437759191195343,-0.8001267422949012,0,0,-2
2004-06-01,48.83,72.119,2004,0.0,-0.02320464092818575,0.0026973414882519677,0.004444662454066456,0.011853955314056308,0.10010532009099893,-0.3502171134398519,-0.6068720664679833,0,0,-2
