"날짜","종가","시가","고가","저가","변동 %"
"2020- 03- 01","0.990","1.110","1.110","0.865","-10.49%"
"2020- 02- 01","1.106","1.260","1.260","1.106","-12.57%"
"2020- 01- 01","1.265","1.327","1.339","1.265","-5.60%"
"2019- 12- 01","1.340","1.365","1.368","1.325","-1.69%"
"2019- 11- 01","1.363","1.385","1.427","1.362","-1.59%"
"2019- 10- 01","1.385","1.325","1.402","1.247","4.61%"
"2019- 09- 01","1.324","1.165","1.359","1.135","15.13%"
"2019- 08- 01","1.150","1.285","1.288","1.100","-10.58%"
"2019- 07- 01","1.286","1.510","1.512","1.285","-14.78%"
"2019- 06- 01","1.509","1.601","1.601","1.467","-5.81%"
"2019- 05- 01","1.602","1.742","1.742","1.602","-7.35%"
"2019- 04- 01","1.729","1.734","1.765","1.727","0.00%"
"2019- 03- 01","1.729","1.762","1.807","1.727","-2.04%"
"2019- 02- 01","1.765","1.770","1.772","1.748","-0.40%"
"2019- 01- 01","1.772","1.735","1.775","1.676","1.26%"
"2018- 12- 01","1.750","1.790","1.812","1.712","-1.52%"
"2018- 11- 01","1.777","1.807","1.844","1.753","-1.28%"
"2018- 10- 01","1.800","1.846","1.890","1.791","-2.23%"
"2018- 09- 01","1.841","1.685","1.880","1.670","9.13%"
"2018- 08- 01","1.687","1.795","1.795","1.687","-6.33%"
"2018- 07- 01","1.801","1.845","1.855","1.781","-2.38%"
"2018- 06- 01","1.845","1.852","1.852","1.824","-0.86%"
"2018- 05- 01","1.861","1.892","2.004","1.860","-1.33%"
"2018- 04- 01","1.886","1.942","1.944","1.886","-3.13%"
"2018- 03- 01","1.947","1.752","2.030","1.745","10.56%"
"2018- 02- 01","1.761","1.811","1.811","1.761","-2.76%"
"2018- 01- 01","1.811","1.815","1.830","1.765","-2.11%"
"2017- 12- 01","1.850","1.845","1.880","1.814","-0.27%"
"2017- 11- 01","1.855","1.903","1.903","1.825","-2.06%"
"2017- 10- 01","1.894","1.663","1.894","1.663","15.70%"
"2017- 09- 01","1.637","1.532","1.640","1.520","5.82%"
"2017- 08- 01","1.547","1.388","1.547","1.374","11.86%"
"2017- 07- 01","1.383","1.465","1.475","1.382","-5.40%"
"2017- 06- 01","1.462","1.460","1.477","1.420","-1.08%"
"2017- 05- 01","1.478","1.485","1.518","1.472","-0.54%"
"2017- 04- 01","1.486","1.519","1.525","1.485","-1.72%"
"2017- 03- 01","1.512","1.442","1.567","1.440","5.37%"
"2017- 02- 01","1.435","1.496","1.496","1.432","-3.82%"
"2017- 01- 01","1.492","1.551","1.551","1.468","-4.48%"
"2016- 12- 01","1.562","1.607","1.607","1.535","-3.58%"
"2016- 11- 01","1.620","1.420","1.695","1.408","14.08%"
"2016- 10- 01","1.420","1.345","1.425","1.343","5.58%"
"2016- 09- 01","1.345","1.341","1.370","1.297","2.13%"
"2016- 08- 01","1.317","1.250","1.317","1.229","5.19%"
"2016- 07- 01","1.252","1.282","1.282","1.240","-2.72%"
"2016- 06- 01","1.287","1.460","1.460","1.283","-14.49%"
"2016- 05- 01","1.505","1.489","1.510","1.427","1.90%"
"2016- 04- 01","1.477","1.490","1.530","1.467","-0.47%"
"2016- 03- 01","1.484","1.478","1.537","1.457","1.64%"
"2016- 02- 01","1.460","1.535","1.535","1.426","-5.99%"
"2016- 01- 01","1.553","1.602","1.607","1.550","-4.84%"
"2015- 12- 01","1.632","1.675","1.686","1.620","-4.23%"
"2015- 11- 01","1.704","1.562","1.705","1.561","9.02%"
"2015- 10- 01","1.563","1.520","1.612","1.500","3.03%"
"2015- 09- 01","1.517","1.590","1.591","1.517","-5.19%"
"2015- 08- 01","1.600","1.595","1.607","1.571","0.00%"
"2015- 07- 01","1.600","1.650","1.652","1.585","-2.74%"
"2015- 06- 01","1.645","1.705","1.706","1.633","-4.53%"
"2015- 05- 01","1.723","1.765","1.792","1.701","-1.71%"
"2015- 04- 01","1.753","1.700","1.769","1.663","2.63%"
"2015- 03- 01","1.708","1.990","1.990","1.707","-15.07%"
"2015- 02- 01","2.011","1.970","2.037","1.933","2.08%"
"2015- 01- 01","1.970","2.070","2.072","1.937","-4.88%"
"2014- 12- 01","2.071","2.025","2.100","2.020","2.27%"
"2014- 11- 01","2.025","2.080","2.080","2.013","-2.88%"
"2014- 10- 01","2.085","2.184","2.195","2.085","-6.08%"
"2014- 09- 01","2.220","2.378","2.378","2.220","-6.57%"
"2014- 08- 01","2.376","2.405","2.405","2.365","-1.45%"
"2014- 07- 01","2.411","2.600","2.603","2.402","-7.62%"
"2014- 06- 01","2.610","2.700","2.703","2.595","-1.69%"
"2014- 05- 01","2.655","2.660","2.667","2.645","-0.23%"
"2014- 04- 01","2.661","2.655","2.681","2.630","0.30%"
"2014- 03- 01","2.653","2.680","2.685","2.635","-0.26%"
"2014- 02- 01","2.660","2.650","2.660","2.635","-0.04%"
"2014- 01- 01","2.661","2.670","2.690","2.620","-1.08%"
"2013- 12- 01","2.690","2.720","2.750","2.650","-0.37%"
"2013- 11- 01","2.700","2.680","2.785","2.655","0.00%"
"2013- 10- 01","2.700","2.710","2.750","2.670","2.66%"
"2013- 09- 01","2.630","2.680","2.700","2.600","-1.13%"
"2013- 08- 01","2.660","2.670","2.700","2.620","-0.75%"
"2013- 07- 01","2.680","2.700","2.755","2.620","0.37%"
"2013- 06- 01","2.670","2.645","2.860","2.580","0.00%"
"2013- 05- 01","2.670","2.500","2.670","2.480","4.71%"
"2013- 04- 01","2.550","2.490","2.700","2.460","0.00%"
"2013- 03- 01","2.550","2.630","2.680","2.510","-3.04%"
"2013- 02- 01","2.630","2.740","2.750","2.600","-4.01%"
"2013- 01- 01","2.740","2.800","2.830","2.690","-1.79%"
"2012- 12- 01","2.790","2.790","2.860","2.780","0.36%"
"2012- 11- 01","2.780","2.780","2.810","2.735","0.36%"
"2012- 10- 01","2.770","2.790","3.000","2.740","-2.12%"
"2012- 09- 01","2.830","2.770","2.930","2.720","-1.05%"
"2012- 08- 01","2.860","2.800","2.950","2.750","1.78%"
"2012- 07- 01","2.810","3.280","3.290","2.780","-14.33%"
"2012- 06- 01","3.280","3.320","3.320","3.230","-1.06%"
"2012- 05- 01","3.315","3.450","3.680","3.100","-3.35%"
"2012- 04- 01","3.430","3.490","3.500","3.150","-1.72%"
"2012- 03- 01","3.490","3.470","3.830","3.440","1.75%"
"2012- 02- 01","3.430","3.380","3.460","3.370","0.88%"
"2012- 01- 01","3.400","3.420","3.420","3.370","-0.58%"
"2011- 12- 01","3.420","3.400","3.480","3.350","0.00%"
"2011- 11- 01","3.420","3.530","3.550","3.330","-3.93%"
"2011- 10- 01","3.560","3.570","3.600","3.420","1.42%"
"2011- 09- 01","3.510","3.450","3.520","3.290","1.15%"
"2011- 08- 01","3.470","3.720","3.800","3.390","-5.45%"
"2011- 07- 01","3.670","3.600","3.700","3.530","2.23%"
"2011- 06- 01","3.590","3.500","3.640","3.440","3.46%"
"2011- 05- 01","3.470","3.540","4.440","3.430","-1.98%"
"2011- 04- 01","3.540","3.470","3.600","3.400","10.97%"
"2011- 03- 01","3.190","3.390","3.390","3.170","-3.63%"
"2011- 02- 01","3.310","3.350","3.900","3.280","2.48%"
"2011- 01- 01","3.230","2.800","3.850","2.680","18.32%"
"2010- 12- 01","2.730","2.760","3.830","2.700","-0.73%"
"2010- 11- 01","2.750","2.860","3.120","2.730","-1.43%"
"2010- 10- 01","2.790","2.920","3.780","2.640","2.20%"
"2010- 09- 01","2.730","3.060","3.070","2.700","-9.90%"
"2010- 08- 01","3.030","3.090","3.320","2.970","-2.26%"
"2010- 07- 01","3.100","3.090","3.600","3.060","-0.32%"
"2010- 06- 01","3.110","2.820","3.900","2.820","9.51%"
"2010- 05- 01","2.840","2.740","2.900","2.630","4.41%"
"2010- 04- 01","2.720","2.820","3.800","2.710","13.81%"
"2010- 03- 01","2.390","2.900","3.840","2.390","-16.14%"
"2010- 02- 01","2.850","3.190","4.060","2.850","-10.94%"
"2010- 01- 01","3.200","3.470","3.470","3.160","-5.33%"
"2009- 12- 01","3.380","3.200","3.400","3.170","5.30%"
"2009- 11- 01","3.210","3.680","3.680","3.200","-15.08%"
"2009- 10- 01","3.780","3.850","3.940","3.650","-2.07%"
"2009- 09- 01","3.860","3.830","4.820","3.640","0.78%"
"2009- 08- 01","3.830","3.460","3.830","3.460","11.66%"
"2009- 07- 01","3.430","2.970","3.430","2.630","16.27%"
"2009- 06- 01","2.950","2.490","3.210","2.480","15.23%"
"2009- 05- 01","2.560","2.880","2.880","2.550","-7.91%"
"2009- 04- 01","2.780","3.020","3.040","2.500","-11.75%"
"2009- 03- 01","3.150","2.960","3.150","2.720","31.25%"
"2009- 02- 01","2.400","2.420","2.420","2.100","-1.23%"
"2009- 01- 01","2.430","3.170","3.170","2.430","-25.23%"
"2008- 12- 01","3.250","4.855","4.855","3.250","-34.21%"
"2008- 11- 01","4.940","4.981","5.150","4.800","-5.54%"
"2008- 10- 01","5.230","5.580","5.580","5.190","-7.10%"
"2008- 09- 01","5.630","5.420","5.630","5.220","4.65%"
"2008- 08- 01","5.380","5.420","5.490","5.380","0.37%"
"2008- 07- 01","5.360","5.210","5.490","5.200","1.90%"
"2008- 06- 01","5.260","5.110","5.280","5.030","3.95%"
"2008- 05- 01","5.060","4.940","5.160","4.900","2.85%"
"2008- 04- 01","4.920","5.160","5.160","4.910","-4.84%"
"2008- 03- 01","5.170","4.870","5.210","4.860","5.08%"
"2008- 02- 01","4.920","4.990","5.090","4.920","-5.57%"
"2008- 01- 01","5.210","5.760","5.810","5.210","-9.55%"
"2007- 12- 01","5.760","5.430","5.760","5.330","5.30%"
"2007- 11- 01","5.470","5.290","5.490","5.240","3.60%"
"2007- 10- 01","5.280","5.390","5.500","5.200","-1.68%"
"2007- 09- 01","5.370","5.370","5.370","5.370","1.13%"
"2007- 08- 01","5.310","5.310","5.310","5.310","1.92%"
"2007- 07- 01","5.210","5.210","5.210","5.210","-0.19%"
"2007- 06- 01","5.220","5.220","5.220","5.220","2.76%"
"2007- 05- 01","5.080","5.080","5.080","5.080","0.00%"
"2007- 04- 01","5.080","5.080","5.080","5.080","4.53%"
"2007- 03- 01","4.860","4.860","4.860","4.860","-0.82%"
"2007- 02- 01","4.900","4.900","4.900","4.900","-3.16%"
"2007- 01- 01","5.060","5.060","5.060","5.060","8.35%"
"2006- 12- 01","4.670","4.670","4.670","4.670","1.97%"
"2006- 11- 01","4.580","4.580","4.580","4.580","-0.22%"
"2006- 10- 01","4.590","4.590","4.590","4.590","-0.65%"
"2006- 09- 01","4.620","4.620","4.620","4.620","-1.70%"
"2006- 08- 01","4.700","4.700","4.700","4.700","-1.05%"
"2006- 07- 01","4.750","4.750","4.750","4.750","-0.84%"
"2006- 06- 01","4.790","4.790","4.790","4.790","6.21%"
"2006- 05- 01","4.510","4.510","4.510","4.510","-1.96%"
"2006- 04- 01","4.600","4.600","4.600","4.600","1.77%"
"2006- 03- 01","4.520","4.520","4.520","4.520","3.20%"
"2006- 02- 01","4.380","4.380","4.380","4.380","-1.35%"
"2006- 01- 01","4.440","4.440","4.440","4.440","-2.42%"
"2005- 12- 01","4.550","4.550","4.550","4.550","1.79%"
"2005- 11- 01","4.470","4.470","4.470","4.470","2.52%"
"2005- 10- 01","4.360","4.360","4.360","4.360","0.00%"
"2005- 09- 01","4.360","4.360","4.360","4.360","20.11%"
"2005- 08- 01","3.630","3.630","3.630","3.630","0.83%"
"2005- 07- 01","3.600","3.600","3.600","3.600","-3.23%"
"2005- 06- 01","3.720","3.720","3.720","3.720","4.20%"
"2005- 05- 01","3.570","3.570","3.570","3.570","-1.65%"
"2005- 04- 01","3.630","3.630","3.630","3.630","-1.63%"
"2005- 03- 01","3.690","3.690","3.690","3.690","0.00%"
"2005- 02- 01","3.690","3.690","3.690","3.690","2.22%"
"2005- 01- 01","3.610","3.610","3.610","3.610","8.41%"
"2004- 12- 01","3.330","3.330","3.330","3.330","0.91%"
"2004- 11- 01","3.300","3.300","3.300","3.300","-4.35%"
"2004- 10- 01","3.450","3.450","3.450","3.450","-5.22%"
"2004- 09- 01","3.640","3.640","3.640","3.640","-1.09%"
"2004- 08- 01","3.680","3.680","3.680","3.680","-8.46%"
"2004- 07- 01","4.020","4.020","4.020","4.020","-0.99%"
"2004- 06- 01","4.060","4.060","4.060","4.060","0.74%"
"2004- 05- 01","4.030","4.030","4.030","4.030","-0.74%"
"2004- 04- 01","4.060","4.060","4.060","4.060","-2.17%"
"2004- 03- 01","4.150","4.150","4.150","4.150","-1.19%"
"2004- 02- 01","4.200","4.200","4.200","4.200","-6.04%"
"2004- 01- 01","4.470","4.470","4.470","4.470","-2.19%"
"2003- 12- 01","4.570","4.570","4.570","4.570","1.56%"
"2003- 11- 01","4.500","4.500","4.500","4.500","11.94%"
"2003- 10- 01","4.020","4.020","4.020","4.020","-2.90%"
"2003- 09- 01","4.140","4.140","4.140","4.140","-2.13%"
"2003- 08- 01","4.230","4.230","4.230","4.230","-0.70%"
"2003- 07- 01","4.260","4.260","4.260","4.260","-4.91%"
"2003- 06- 01","4.480","4.480","4.480","4.480","5.41%"
"2003- 05- 01","4.250","4.250","4.250","4.250","-5.56%"
"2003- 04- 01","4.500","4.500","4.500","4.500","-6.44%"
"2003- 03- 01","4.810","4.810","4.810","4.810","4.57%"
"2003- 02- 01","4.600","4.600","4.600","4.600","-0.86%"
"2003- 01- 01","4.640","4.640","4.640","4.640","-7.57%"
"2002- 12- 01","5.020","5.020","5.020","5.020","0.60%"
"2002- 11- 01","4.990","4.990","4.990","4.990","-2.54%"
"2002- 10- 01","5.120","5.120","5.120","5.120","1.39%"
"2002- 09- 01","5.050","5.050","5.050","5.050","0.00%"
"2002- 08- 01","5.050","5.050","5.050","5.050","-4.17%"
"2002- 07- 01","5.270","5.270","5.270","5.270","-2.41%"
"2002- 06- 01","5.400","5.400","5.400","5.400","0.75%"
"2002- 05- 01","5.360","5.360","5.360","5.360","2.29%"
"2002- 04- 01","5.240","5.240","5.240","5.240","-2.78%"
"2002- 03- 01","5.390","5.390","5.390","5.390","8.02%"
"2002- 02- 01","4.990","4.990","4.990","4.990","-0.99%"
"2002- 01- 01","5.040","5.040","5.040","5.040","-3.82%"
"2001- 12- 01","5.240","5.240","5.240","5.240","0.77%"
"2001- 11- 01","5.200","5.200","5.200","5.200","14.29%"
"2001- 10- 01","4.550","4.550","4.550","4.550","2.25%"
"2001- 09- 01","4.450","4.450","4.450","4.450","-13.42%"
"2001- 08- 01","5.140","5.140","5.140","5.140","-3.75%"
"2001- 07- 01","5.340","5.340","5.340","5.340","-6.81%"
"2001- 06- 01","5.730","5.730","5.730","5.730","-2.05%"
"2001- 05- 01","5.850","5.850","5.850","5.850","-7.29%"
"2001- 04- 01","6.310","6.310","6.310","6.310","3.10%"
"2001- 03- 01","6.120","6.120","6.120","6.120","8.51%"
"2001- 02- 01","5.640","5.640","5.640","5.640","-1.23%"
"2001- 01- 01","5.710","5.710","5.710","5.710","-14.65%"
"2000- 12- 01","6.690","6.690","6.690","6.690","-4.43%"
"2000- 11- 01","7.000","7.000","7.000","7.000","-0.43%"
"2000- 10- 01","7.030","7.030","7.030","7.030","-3.43%"
"2000- 09- 01","7.280","7.280","7.280","7.280","0.55%"
"2000- 08- 01","7.240","7.240","7.240","7.240","-1.23%"
"2000- 07- 01","7.330","7.330","7.330","7.330","-9.62%"
"2000- 06- 01","8.110","8.110","8.110","8.110","-2.87%"
"2000- 05- 01","8.350","8.350","8.350","8.350","0.36%"
"2000- 04- 01","8.320","8.320","8.320","8.320","0.00%"
"2000- 03- 01","8.320","8.320","8.320","8.320","0.85%"
"2000- 02- 01","8.250","8.250","8.250","8.250","-5.06%"
"2000- 01- 01","8.690","8.690","8.690","8.690","-2.69%"
"1999- 12- 01","8.930","8.930","8.930","8.930","4.08%"
"1999- 11- 01","8.580","8.580","8.580","8.580","9.86%"
"1999- 10- 01","7.810","7.810","7.810","7.810","-7.68%"
"1999- 09- 01","8.460","8.460","8.460","8.460","0.95%"
"1999- 08- 01","8.380","8.380","8.380","8.380","6.89%"
"1999- 07- 01","7.840","7.840","7.840","7.840","22.50%"
"1999- 06- 01","6.400","6.400","6.400","6.400","18.30%"
"1999- 05- 01","5.410","5.410","5.410","5.410","-6.56%"
"1999- 04- 01","5.790","5.790","5.790","5.790","-12.41%"
"1999- 03- 01","6.610","6.610","6.610","6.610","-2.36%"
"1999- 02- 01","6.770","6.770","6.770","6.770","-3.01%"
"1999- 01- 01","6.980","6.980","6.980","6.980","-3.59%"
"1998- 12- 01","7.240","7.240","7.240","7.240","-9.16%"
"1998- 11- 01","7.970","7.970","7.970","7.970","-1.85%"
"1998- 10- 01","8.120","8.120","8.120","8.120","-26.45%"
"1998- 09- 01","11.040","11.040","11.040","11.040","3.08%"
"1998- 08- 01","10.710","10.710","10.710","10.710","-9.62%"
"1998- 07- 01","11.850","11.850","11.850","11.850","-19.11%"
"1998- 06- 01","14.650","14.650","14.650","14.650","-17.93%"
"1998- 05- 01","17.850","17.850","17.850","17.850","-2.19%"
"1998- 04- 01","18.250","18.250","18.250","18.250","-0.54%"
"1998- 03- 01","18.350","18.350","18.350","18.350","-0.27%"
"1998- 02- 01","18.400","18.400","18.400","18.400","0.00%"
"1998- 01- 01","18.400","18.400","18.400","18.400","1.10%"
"1997- 12- 01","18.200","18.200","18.200","18.200","26.83%"
"1997- 11- 01","14.350","14.350","14.350","14.350","17.62%"
"1997- 10- 01","12.200","12.200","12.200","12.200","0.00%"
"1997- 09- 01","12.200","12.200","12.200","12.200","0.00%"
"1997- 08- 01","12.200","12.200","12.200","12.200","0.00%"
"1997- 07- 01","12.200","12.200","12.200","12.200","0.41%"
"1997- 06- 01","12.150","12.150","12.150","12.150","-4.71%"
"1997- 05- 01","12.750","12.750","12.750","12.750","0.00%"
"1997- 04- 01","12.750","12.750","12.750","12.750","-0.39%"
"1997- 03- 01","12.800","12.800","12.800","12.800","0.79%"
"1997- 02- 01","12.700","12.700","12.700","12.700","-1.17%"
"1997- 01- 01","12.850","12.850","12.850","12.850","-0.39%"
"1996- 12- 01","12.900","12.900","12.900","12.900","0.00%"
"1996- 11- 01","12.900","12.900","12.900","12.900","0.78%"
"1996- 10- 01","12.800","12.800","12.800","12.800","-1.16%"
"1996- 09- 01","12.950","12.950","12.950","12.950","0.00%"
"1996- 08- 01","12.950","12.950","12.950","12.950","4.02%"
"1996- 07- 01","12.450","12.450","12.450","12.450","3.32%"
"1996- 06- 01","12.050","12.050","12.050","12.050","5.24%"
"1996- 05- 01","11.450","11.450","11.450","11.450","12.25%"
"1996- 04- 01","10.200","10.200","10.200","10.200","-12.82%"
"1996- 03- 01","11.700","11.700","11.700","11.700","-1.68%"
"1996- 02- 01","11.900","11.900","11.900","11.900","0.00%"
"1996- 01- 01","11.900","11.900","11.900","11.900","1.28%"
"1995- 12- 01","11.750","11.750","11.750","11.750","0.00%"
"1995- 11- 01","11.750","11.750","11.750","11.750","-4.47%"
"1995- 10- 01","12.300","12.300","12.300","12.300","-3.15%"
"1995- 09- 01","12.700","12.700","12.700","12.700","-2.31%"
"1995- 08- 01","13.000","13.000","13.000","13.000","-6.47%"
"1995- 07- 01","13.900","13.900","13.900","13.900","-6.08%"
"1995- 06- 01","14.800","14.800","14.800","14.800","1.02%"
