"날짜","종가","시가","고가","저가","변동 %"
"2023- 05- 01","3.353","3.365","3.367","3.353","0.99%"
"2023- 04- 01","3.320","3.255","3.320","3.152","0.61%"
"2023- 03- 01","3.300","3.730","3.730","3.245","-10.57%"
"2023- 02- 01","3.690","3.451","3.690","3.390","6.93%"
"2023- 01- 01","3.451","3.737","3.740","3.451","-7.63%"
"2022- 12- 01","3.736","3.660","3.775","3.613","0.95%"
"2022- 11- 01","3.701","3.805","3.960","3.655","1.65%"
"2022- 10- 01","3.641","3.370","3.642","3.352","8.49%"
"2022- 09- 01","3.356","3.285","3.580","3.130","2.94%"
"2022- 08- 01","3.260","2.910","3.271","2.847","12.41%"
"2022- 07- 01","2.900","2.965","3.008","2.900","-3.53%"
"2022- 06- 01","3.006","2.277","3.020","2.276","33.42%"
"2022- 05- 01","2.253","2.255","2.312","2.160","1.44%"
"2022- 04- 01","2.221","1.930","2.435","1.930","32.60%"
"2022- 03- 01","1.675","1.496","1.680","1.375","11.97%"
"2022- 02- 01","1.496","1.445","1.510","1.445","2.61%"
"2022- 01- 01","1.458","1.323","1.460","1.323","7.92%"
"2021- 12- 01","1.351","1.415","1.415","1.260","10.92%"
"2021- 11- 01","1.218","1.330","1.337","1.215","-8.28%"
"2021- 10- 01","1.328","1.052","1.330","1.050","26.48%"
"2021- 09- 01","1.050","1.030","1.063","1.012","0.38%"
"2021- 08- 01","1.046","0.937","1.060","0.936","11.40%"
"2021- 07- 01","0.939","0.951","0.973","0.836","-1.57%"
"2021- 06- 01","0.954","0.755","0.965","0.750","26.19%"
"2021- 05- 01","0.756","0.700","0.756","0.630","7.23%"
"2021- 04- 01","0.705","0.757","0.757","0.700","19.29%"
"2021- 03- 01","0.591","0.615","0.633","0.591","-4.52%"
"2021- 02- 01","0.619","0.635","0.636","0.615","-2.67%"
"2021- 01- 01","0.636","0.650","0.668","0.630","-3.20%"
"2020- 12- 01","0.657","0.607","0.665","0.571","7.00%"
"2020- 11- 01","0.614","0.685","0.685","0.610","-9.97%"
"2020- 10- 01","0.682","0.657","0.682","0.657","3.81%"
"2020- 09- 01","0.657","0.630","0.697","0.630","4.78%"
"2020- 08- 01","0.627","0.570","0.630","0.567","10.97%"
"2020- 07- 01","0.565","0.589","0.589","0.552","-4.24%"
"2020- 06- 01","0.590","0.587","0.651","0.545","0.34%"
"2020- 05- 01","0.588","0.795","0.795","0.585","-27.05%"
"2020- 04- 01","0.806","0.990","0.990","0.805","-18.59%"
