시점,전국주택_소비심리,전국주택_전년동월대비증감,전국주택_증감률,수도권주택_소비심리,수도권주택_전년동월대비증감,수도권주택_증감률,서울주택_소비심리,서울주택_전년동월대비증감,서울주택_증감률,인천주택_소비심리,인천주택_전년동월대비증감,인천주택_증감률,경기주택_소비심리,경기주택_전년동월대비증감,경기주택_증감률
2022.05,105.0,-18.7,-15.1,105.2,-22.3,-17.5,107.6,-18.6,-14.7,99.8,-35.5,-26.2,105.0,-21.7,-17.1
2022.06,100.6,-26.8,-21.0,99.8,-31.5,-24.0,100.8,-29.2,-22.5,94.3,-41.7,-30.7,100.3,-30.8,-23.5
2022.07,93.6,-35.2,-27.3,92.0,-41.3,-31.0,92.6,-40.4,-30.4,88.0,-46.4,-34.5,92.5,-40.8,-30.6
2022.08,89.1,-41.2,-31.6,87.4,-47.7,-35.3,87.5,-48.4,-35.6,86.4,-51.1,-37.2,87.5,-46.7,-34.8
2022.09,87.6,-41.7,-32.3,85.9,-45.9,-34.8,87.4,-44.7,-33.8,82.8,-51.3,-38.3,85.7,-45.5,-34.7
2022.10,80.1,-40.6,-33.6,78.3,-42.3,-35.1,77.9,-42.0,-35.0,79.8,-43.1,-35.1,78.3,-42.3,-35.1
2022.11,78.8,-33.9,-30.1,75.8,-35.8,-32.1,72.9,-39.0,-34.9,78.6,-31.0,-28.3,76.8,-35.1,-31.4
2022.12,77.3,-27.4,-26.2,75.9,-27.3,-26.5,74.7,-27.4,-26.8,75.5,-29.5,-28.1,76.6,-26.8,-25.9
2023.01,83.8,-18.5,-18.1,83.2,-18.2,-17.9,82.1,-18.6,-18.5,84.7,-17.3,-17.0,83.4,-18.3,-18.0
2023.02,93.7,-10.5,-10.1,94.1,-9.3,-9.0,93.3,-8.2,-8.1,95.6,-12.2,-11.3,94.2,-9.4,-9.1
2023.03,95.6,-11.6,-10.8,97.0,-10.4,-9.7,97.7,-9.5,-8.9,94.4,-11.3,-10.7,97.1,-10.7,-9.9
