시점,전국_소비심리,전국_전년동월대비증감,전국_증감률,수도권_소비심리,수도권_전년동월대비증감,수도권_증감률,서울_소비심리,서울_전년동월대비증감,서울_증감률,인천_소비심리,인천_전년동월대비증감,인천_증감률,경기_소비심리,경기_전년동월대비증감,경기_증감률
2021.02,123.4,7.5,6.5,127.2,6.3,5.2,124.7,4.6,3.8,132.1,8.9,7.2,127.5,6.6,5.5
2021.03,120.1,13.1,12.2,121.9,10.7,9.6,116.6,6.8,6.2,131.1,13.7,11.7,122.9,12.3,11.1
2021.04,117.8,14.7,14.3,120.3,15.4,14.7,117.1,14.9,14.6,129.2,19.5,17.8,120.3,14.9,14.1
2021.05,121.7,11.9,10.8,125.5,13.6,12.2,124.1,11.6,10.3,132.4,17.4,15.1,124.9,14.1,12.7
2021.06,125.2,5.0,4.2,129.2,3.7,2.9,127.9,-4.0,-3.0,133.0,16.9,14.6,129.1,5.3,4.3
2021.07,126.4,5.2,4.3,130.9,3.0,2.3,130.7,-8.7,-6.2,131.5,20.9,18.9,130.9,5.8,4.6
2021.08,127.8,7.5,6.2,132.3,7.4,5.9,132.9,1.0,0.8,134.1,21.6,19.2,131.6,8.0,6.5
2021.09,127.0,5.9,4.9,129.4,6.0,4.9,129.5,2.2,1.7,131.9,15.7,13.5,128.9,6.2,5.1
2021.10,118.9,-9.3,-7.3,119.1,-10.0,-7.7,118.2,-13.4,-10.2,121.2,0.6,0.5,119.1,-10.4,-8.0
2021.11,111.6,-20.1,-15.3,110.9,-20.4,-15.5,111.3,-21.9,-16.4,109.0,-14.3,-11.6,111.1,-20.8,-15.8
2021.12,104.3,-23.4,-18.3,103.1,-27.4,-21.0,102.0,-28.8,-22.0,104.8,-21.4,-17.0,103.4,-27.9,-21.2
2022.01,101.9,-23.4,-18.7,101.4,-27.5,-21.3,100.7,-28.4,-22.0,101.9,-24.8,-19.6,101.7,-27.6,-21.3
2022.02,103.7,-19.7,-16.0,103.1,-24.1,-18.9,101.2,-23.5,-18.8,107.3,-24.8,-18.8,103.3,-24.2,-19.0
2022.03,106.5,-13.6,-11.3,107.0,-14.9,-12.2,107.1,-9.5,-8.1,105.6,-25.5,-19.5,107.3,-15.6,-12.7
2022.04,108.9,-8.9,-7.6,110.2,-10.1,-8.4,113.0,-4.1,-3.5,104.7,-24.5,-19.0,109.8,-10.5,-8.7
2022.05,104.5,-17.2,-14.1,105.0,-20.5,-16.3,107.3,-16.8,-13.5,99.8,-32.6,-24.6,104.8,-20.1,-16.1
2022.06,100.2,-25.0,-20.0,99.8,-29.4,-22.8,100.9,-27.0,-21.1,94.5,-38.5,-28.9,100.3,-28.8,-22.3
2022.07,93.6,-32.8,-25.9,92.4,-38.5,-29.4,93.0,-37.7,-28.8,88.7,-42.8,-32.5,92.9,-38.0,-29.0
2022.08,89.4,-38.4,-30.0,88.0,-44.3,-33.5,88.3,-44.6,-33.6,86.9,-47.2,-35.2,88.2,-43.4,-33.0
2022.09,88.0,-39.0,-30.7,86.8,-42.6,-32.9,88.5,-41.0,-31.7,83.1,-48.8,-37.0,86.6,-42.3,-32.8
2022.10,80.7,-38.2,-32.1,79.1,-40.0,-33.6,78.7,-39.5,-33.4,80.1,-41.1,-33.9,79.1,-40.0,-33.6
2022.11,79.5,-32.1,-28.8,76.9,-34.0,-30.7,74.3,-37.0,-33.2,79.2,-29.8,-27.3,77.8,-33.3,-30.0
2022.12,78.0,-26.3,-25.2,76.8,-26.3,-25.5,76.0,-26.0,-25.5,76.3,-28.5,-27.2,77.5,-25.9,-25.0
2023.01,83.9,-18.0,-17.7,83.5,-17.9,-17.7,82.8,-17.9,-17.8,84.6,-17.3,-17.0,83.7,-18.0,-17.7
2023.02,93.2,-10.5,-10.1,93.8,-9.3,-9.0,93.7,-7.5,-7.4,95.2,-12.1,-11.3,93.6,-9.7,-9.4
2023.03,94.9,-11.6,-10.9,96.4,-10.6,-9.9,97.5,-9.6,-9.0,93.8,-11.8,-11.2,96.4,-10.9,-10.2
