시점,전국주택매매_소비심리,전국주택매매_전년동월대비증감,전국주택매매_증감률,수도권주택매매_소비심리,수도권주택매매_전년동월대비증감,수도권주택매매_증감률,서울주택매매_소비심리,서울주택매매_전년동월대비증감,서울주택매매_증감률,인천주택매매_소비심리,인천주택매매_전년동월대비증감,인천주택매매_증감률,경기주택매매_소비심리,경기주택매매_전년동월대비증감,경기주택매매_증감률
2016.03,119.1,-23.4,-16.4,122.1,-23.1,-15.9,123.5,-23.7,-16.1,122.5,-25.2,-17.1,121.1,-22.5,-15.7
2016.04,120.8,-22.5,-15.7,126.4,-19.3,-13.2,129.0,-17.0,-11.6,123.1,-21.8,-15.0,125.6,-20.1,-13.8
2016.05,121.9,-17.2,-12.4,129.0,-12.6,-8.9,133.8,-10.2,-7.1,122.7,-17.8,-12.7,127.5,-13.0,-9.3
2016.06,126.4,-8.6,-6.4,134.4,-0.3,-0.2,142.3,2.4,1.7,126.3,-4.9,-3.7,131.7,-0.7,-0.5
2016.07,128.5,-12.1,-8.6,137.1,-4.7,-3.3,143.7,-5.6,-3.8,130.5,-6.6,-4.8,134.7,-3.7,-2.7
2016.08,132.5,-5.6,-4.1,140.6,1.7,1.2,145.7,1.5,1.0,136.6,-0.6,-0.4,138.6,2.4,1.8
2016.09,134.0,-0.4,-0.3,139.1,2.4,1.8,143.9,5.6,4.0,138.8,1.7,1.2,136.4,0.7,0.5
2016.10,134.1,-3.3,-2.4,139.8,-0.7,-0.5,144.4,0.3,0.2,137.8,-1.0,-0.7,137.6,-1.1,-0.8
2016.11,120.7,-7.2,-5.6,122.5,-7.9,-6.1,122.8,-11.0,-8.2,121.6,-6.6,-5.1,122.5,-6.5,-5.0
2016.12,110.9,-1.3,-1.2,110.3,-3.1,-2.7,109.9,-3.6,-3.2,111.6,-0.7,-0.6,110.2,-3.3,-2.9
2017.01,111.9,-0.5,-0.4,112.4,-2.1,-1.8,111.9,-2.5,-2.2,113.4,-1.0,-0.9,112.4,-2.3,-2.0
2017.02,117.2,2.7,2.4,118.5,1.6,1.4,119.1,1.1,0.9,122.2,8.3,7.3,117.4,0.4,0.3
2017.03,120.1,1.0,0.8,123.5,1.4,1.1,125.8,2.3,1.9,123.6,1.1,0.9,122.2,1.1,0.9
2017.04,120.5,-0.3,-0.2,126.0,-0.4,-0.3,132.3,3.3,2.6,124.2,1.1,0.9,122.7,-2.9,-2.3
2017.05,126.2,4.3,3.5,134.4,5.4,4.2,144.4,10.6,7.9,128.5,5.8,4.7,129.9,2.4,1.9
2017.06,127.5,1.1,0.9,136.0,1.6,1.2,145.8,3.5,2.5,129.8,3.5,2.8,131.8,0.1,0.1
2017.07,132.0,3.5,2.7,142.5,5.4,3.9,156.2,12.5,8.7,129.8,-0.7,-0.5,137.3,2.6,1.9
2017.08,120.4,-12.1,-9.1,124.7,-15.9,-11.3,123.3,-22.4,-15.4,123.1,-13.5,-9.9,125.8,-12.8,-9.2
2017.09,119.7,-14.3,-10.7,123.9,-15.2,-10.9,128.3,-15.6,-10.8,120.8,-18.0,-13.0,122.0,-14.4,-10.6
2017.10,119.0,-15.1,-11.3,122.8,-17.0,-12.2,132.7,-11.7,-8.1,117.0,-20.8,-15.1,118.5,-19.1,-13.9
2017.11,115.3,-5.4,-4.5,120.7,-1.8,-1.5,135.6,12.8,10.4,110.1,-11.5,-9.5,114.4,-8.1,-6.6
2017.12,112.6,1.7,1.5,118.9,8.6,7.8,133.5,23.6,21.5,112.0,0.4,0.4,112.0,1.8,1.6
2018.01,121.4,9.5,8.5,132.0,19.6,17.4,150.0,38.1,34.0,115.9,2.5,2.2,125.1,12.7,11.3
2018.02,121.9,4.7,4.0,131.7,13.2,11.1,147.2,28.1,23.6,119.7,-2.5,-2.0,125.4,8.0,6.8
2018.03,118.6,-1.5,-1.2,126.2,2.7,2.2,137.8,12.0,9.5,110.4,-13.2,-10.7,123.0,0.8,0.7
2018.04,110.0,-10.5,-8.7,116.4,-9.6,-7.6,126.5,-5.8,-4.4,103.3,-20.9,-16.8,113.4,-9.3,-7.6
2018.05,109.1,-17.1,-13.5,115.9,-18.5,-13.8,128.1,-16.3,-11.3,103.5,-25.0,-19.5,111.7,-18.2,-14.0
2018.06,105.9,-21.6,-16.9,110.6,-25.4,-18.7,121.6,-24.2,-16.6,100.5,-29.3,-22.6,106.4,-25.4,-19.3
2018.07,108.1,-23.9,-18.1,115.1,-27.4,-19.2,130.3,-25.9,-16.6,100.5,-29.3,-22.6,109.5,-27.8,-20.2
2018.08,120.3,-0.1,-0.1,133.9,9.2,7.4,155.9,32.6,26.4,108.5,-14.6,-11.9,126.8,1.0,0.8
2018.09,122.0,2.3,1.9,134.2,10.3,8.3,147.0,18.7,14.6,117.4,-3.4,-2.8,130.4,8.4,6.9
2018.10,112.4,-6.6,-5.5,120.6,-2.2,-1.8,128.0,-4.7,-3.5,110.8,-6.2,-5.3,120.3,1.8,1.5
2018.11,103.3,-12.0,-10.4,110.2,-10.5,-8.7,118.6,-17.0,-12.5,102.6,-7.5,-6.8,107.0,-7.4,-6.5
2018.12,97.2,-15.4,-13.7,100.7,-18.2,-15.3,104.9,-28.6,-21.4,94.9,-17.1,-15.3,99.5,-12.5,-11.2
2019.01,95.5,-25.9,-21.3,98.7,-33.3,-25.2,100.5,-49.5,-33.0,97.1,-18.8,-16.2,98.1,-27.0,-21.6
2019.02,97.9,-24.0,-19.7,101.5,-30.2,-22.9,102.1,-45.1,-30.6,99.8,-19.9,-16.6,101.6,-23.8,-19.0
2019.03,96.1,-22.5,-19.0,98.8,-27.4,-21.7,100.7,-37.1,-26.9,99.6,-10.8,-9.8,97.5,-25.5,-20.7
2019.04,91.9,-18.1,-16.5,96.5,-19.9,-17.1,97.9,-28.6,-22.6,99.1,-4.2,-4.1,95.0,-18.4,-16.2
2019.05,97.3,-11.8,-10.8,102.1,-13.8,-11.9,108.5,-19.6,-15.3,98.0,-5.5,-5.3,99.4,-12.3,-11.0
2019.06,106.9,1.0,0.9,114.2,3.6,3.3,128.3,6.7,5.5,105.1,4.6,4.6,108.2,1.8,1.7
2019.07,111.3,3.2,3.0,121.0,5.9,5.1,137.8,7.5,5.8,109.6,9.1,9.1,113.8,4.3,3.9
2019.08,112.3,-8.0,-6.7,120.8,-13.1,-9.8,134.1,-21.8,-14.0,107.7,-0.8,-0.7,116.0,-10.8,-8.5
2019.09,117.1,-4.9,-4.0,125.2,-9.0,-6.7,138.6,-8.4,-5.7,120.3,2.9,2.5,118.5,-11.9,-9.1
2019.10,123.0,10.6,9.4,133.6,13.0,10.8,151.0,23.0,18.0,125.3,14.5,13.1,125.5,5.2,4.3
2019.11,127.1,23.8,23.0,135.3,25.1,22.8,150.8,32.2,27.2,122.0,19.4,18.9,129.3,22.3,20.8
2019.12,127.3,30.1,31.0,132.8,32.1,31.9,144.6,39.7,37.8,120.1,25.2,26.6,128.8,29.3,29.4
2020.01,123.0,27.5,28.8,128.3,29.6,30.0,124.5,24.0,23.9,124.0,26.9,27.7,131.4,33.3,33.9
2020.02,127.6,29.7,30.3,135.7,34.2,33.7,131.5,29.4,28.8,140.2,40.4,40.5,137.1,35.5,34.9
2020.03,115.6,19.5,20.3,121.5,22.7,23.0,117.6,16.9,16.8,131.3,31.7,31.8,121.6,24.1,24.7
2020.04,108.5,16.6,18.1,110.9,14.4,14.9,105.0,7.1,7.3,120.8,21.7,21.9,112.2,17.2,18.1
2020.05,118.5,21.2,21.8,120.6,18.5,18.1,121.5,13.0,12.0,127.2,29.2,29.8,118.6,19.2,19.3
2020.06,133.8,26.9,25.2,140.9,26.7,23.4,150.1,21.8,17.0,127.8,22.7,21.6,138.4,30.2,27.9
2020.07,129.5,18.2,16.4,137.9,16.9,14.0,155.5,17.7,12.8,112.3,2.7,2.5,133.3,19.5,17.1
2020.08,123.5,11.2,10.0,127.8,7.0,5.8,137.5,3.4,2.5,112.1,4.4,4.1,125.7,9.7,8.4
2020.09,123.4,6.3,5.4,123.7,-1.5,-1.2,129.5,-9.1,-6.6,115.0,-5.3,-4.4,122.3,3.8,3.2
2020.10,132.4,9.4,7.6,129.9,-3.7,-2.8,131.4,-19.6,-13.0,116.1,-9.2,-7.3,132.0,6.5,5.2
2020.11,141.1,14.0,11.0,138.1,2.8,2.1,138.8,-12.0,-8.0,127.2,5.2,4.3,140.0,10.7,8.3
2020.12,139.6,12.3,9.7,143.0,10.2,7.7,141.8,-2.8,-1.9,135.5,15.4,12.8,145.3,16.5,12.8
2021.01,138.3,15.3,12.4,144.4,16.1,12.5,142.8,18.3,14.7,140.4,16.4,13.2,146.1,14.7,11.2
2021.02,135.5,7.9,6.2,143.0,7.3,5.4,140.8,9.3,7.1,149.7,9.5,6.8,142.9,5.8,4.2
2021.03,131.6,16.0,13.8,135.5,14.0,11.5,129.0,11.4,9.7,145.8,14.5,11.0,137.0,15.4,12.7
2021.04,128.4,19.9,18.3,133.1,22.2,20.0,129.8,24.8,23.6,142.9,22.1,18.3,132.9,20.7,18.4
2021.05,133.8,15.3,12.9,139.5,18.9,15.7,137.8,16.3,13.4,149.5,22.3,17.5,138.3,19.7,16.6
2021.06,137.7,3.9,2.9,143.2,2.3,1.6,141.6,-8.5,-5.7,150.8,23.0,18.0,142.6,4.2,3.0
2021.07,139.9,10.4,8.0,146.3,8.4,6.1,145.7,-9.8,-6.3,147.7,35.4,31.5,146.3,13.0,9.8
2021.08,141.4,17.9,14.5,148.4,20.6,16.1,148.9,11.4,8.3,153.9,41.8,37.3,146.8,21.1,16.8
2021.09,139.3,15.9,12.9,142.7,19.0,15.4,142.8,13.3,10.3,146.4,31.4,27.3,141.8,19.5,15.9
2021.10,129.7,-2.7,-2.0,130.3,0.4,0.3,128.7,-2.7,-2.1,134.9,18.8,16.2,130.3,-1.7,-1.3
2021.11,119.5,-21.6,-15.3,118.8,-19.3,-14.0,118.8,-20.0,-14.4,115.6,-11.6,-9.1,119.5,-20.5,-14.6
2021.12,109.4,-30.2,-21.6,108.8,-34.2,-23.9,108.1,-33.7,-23.8,109.6,-25.9,-19.1,109.1,-36.2,-24.9
2022.01,105.8,-32.5,-23.5,105.3,-39.1,-27.1,105.3,-37.5,-26.3,104.0,-36.4,-25.9,105.6,-40.5,-27.7
2022.02,108.5,-27.0,-19.9,108.1,-34.9,-24.4,105.9,-34.9,-24.8,114.2,-35.5,-23.7,108.0,-34.9,-24.4
2022.03,113.1,-18.5,-14.1,113.5,-22.0,-16.2,115.5,-13.5,-10.5,110.2,-35.6,-24.4,113.1,-23.9,-17.4
2022.04,116.0,-12.4,-9.7,117.0,-16.1,-12.1,123.7,-6.1,-4.7,105.7,-37.2,-26.0,115.6,-17.3,-13.0
2022.05,109.4,-24.4,-18.2,108.9,-30.6,-21.9,112.9,-24.9,-18.1,101.7,-47.8,-32.0,108.1,-30.2,-21.8
2022.06,103.0,-34.7,-25.2,101.0,-42.2,-29.5,103.4,-38.2,-27.0,94.8,-56.0,-37.1,100.9,-41.7,-29.2
2022.07,95.2,-44.7,-32.0,92.7,-53.6,-36.6,94.1,-51.6,-35.4,90.5,-57.2,-38.7,92.4,-53.9,-36.8
2022.08,89.9,-51.5,-36.4,87.6,-60.8,-41.0,87.5,-61.4,-41.2,85.7,-68.2,-44.3,88.0,-58.8,-40.1
2022.09,90.1,-49.2,-35.3,89.0,-53.7,-37.6,91.1,-51.7,-36.2,84.5,-61.9,-42.3,88.8,-53.0,-37.4
2022.10,83.5,-46.2,-35.6,82.5,-47.8,-36.7,83.3,-45.4,-35.3,82.5,-52.4,-38.8,82.1,-48.2,-37.0
2022.11,84.0,-35.5,-29.7,81.9,-36.9,-31.1,79.1,-39.7,-33.4,86.2,-29.4,-25.4,82.6,-36.9,-30.9
2022.12,82.7,-26.7,-24.4,82.8,-26.0,-23.9,82.1,-26.0,-24.1,78.7,-30.9,-28.2,84.1,-25.0,-22.9
2023.01,91.5,-14.3,-13.5,92.7,-12.6,-12.0,93.8,-11.5,-10.9,92.6,-11.4,-11.0,92.1,-13.5,-12.8
2023.02,102.1,-6.4,-5.9,104.3,-3.8,-3.5,105.2,-0.7,-0.7,105.3,-8.9,-7.8,103.5,-4.5,-4.2
2023.03,103.6,-9.5,-8.4,106.7,-6.8,-6.0,109.0,-6.5,-5.6,102.9,-7.3,-6.6,106.1,-7.0,-6.2
